Date_Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Voltage (V),Current (A),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),Internal Resistance (Ohm),dV/dt (V/s)
07/20/2023 19:55:35.131,30.000,30.000,1,1,0.00111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/20/2023 19:56:05.132,60.001,60.001,1,1,0.00165,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/20/2023 19:56:35.132,90.001,90.000,1,1,0.00200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/20/2023 19:57:05.132,120.001,120.001,1,1,0.00225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/20/2023 19:57:35.134,150.003,150.002,1,1,0.00273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00009
07/20/2023 19:58:05.131,180.000,180.000,1,1,0.00355,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/20/2023 19:58:35.132,210.001,210.001,1,1,0.00363,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/20/2023 19:59:05.132,240.001,240.000,1,1,0.00362,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/20/2023 19:59:35.133,270.002,270.002,1,1,0.00357,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/20/2023 20:00:05.133,300.003,300.002,1,1,0.00356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/20/2023 20:00:35.132,330.001,330.000,1,1,0.00361,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/20/2023 20:01:05.132,360.001,360.001,1,1,0.00351,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
