Date_Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Voltage (V),Current (A),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),Internal Resistance (Ohm),dV/dt (V/s)
07/21/2023 10:02:21.800,30.001,30.000,1,1,-0.00045,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:02:51.800,60.000,60.000,1,1,-0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005
07/21/2023 10:03:21.800,90.000,90.000,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:03:51.801,120.001,120.001,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:04:21.801,150.001,150.001,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:04:51.800,180.001,180.000,1,1,-0.00051,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:05:21.802,210.002,210.002,1,1,-0.00048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:05:51.801,240.001,240.001,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:06:21.802,270.002,270.002,1,1,-0.00051,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:06:51.800,300.001,300.000,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:07:21.801,330.001,330.001,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:07:51.800,360.001,360.000,1,1,-0.00047,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:08:21.802,390.002,390.002,1,1,-0.00052,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:08:51.802,420.002,420.002,1,1,-0.00048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:09:21.802,450.002,450.002,1,1,-0.00052,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:09:51.800,480.001,480.001,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:10:21.800,510.000,510.000,1,1,-0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:10:51.801,540.001,540.001,1,1,-0.00048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:11:21.800,570.001,570.000,1,1,-0.00047,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:11:51.802,600.002,600.002,1,1,-0.00046,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006
07/21/2023 10:12:21.800,630.001,630.000,1,1,-0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:12:51.802,660.002,660.002,1,1,-0.00048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:13:21.802,690.002,690.002,1,1,-0.00048,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:13:51.800,720.000,720.000,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:14:21.802,750.002,750.002,1,1,-0.00050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
