Date_Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Voltage (V),Current (A),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),Internal Resistance (Ohm),dV/dt (V/s)
07/21/2023 10:02:35.631,30.002,30.002,1,1,-0.00076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:03:05.631,60.002,60.002,1,1,-0.00074,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:03:35.631,90.002,90.002,1,1,-0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:04:05.631,120.002,120.002,1,1,-0.00072,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:04:35.631,150.002,150.002,1,1,-0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:05:05.630,180.001,180.000,1,1,-0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:05:35.629,210.000,210.000,1,1,-0.00070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:06:05.630,240.001,240.001,1,1,-0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:06:35.630,270.001,270.000,1,1,-0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:07:05.630,300.001,300.000,1,1,-0.00070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:07:35.631,330.002,330.002,1,1,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:08:05.631,360.002,360.002,1,1,-0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:08:35.630,390.001,390.000,1,1,-0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:09:05.632,420.003,420.003,1,1,-0.00070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:09:35.630,450.001,450.000,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:10:05.631,480.002,480.002,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005
07/21/2023 10:10:35.629,510.000,510.000,1,1,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:11:05.630,540.001,540.001,1,1,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:11:35.631,570.002,570.002,1,1,-0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:12:05.631,600.002,600.002,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:12:35.631,630.002,630.002,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:13:05.630,660.001,660.000,1,1,-0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:13:35.632,690.003,690.003,1,1,-0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00004
07/21/2023 10:14:05.630,720.001,720.000,1,1,-0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:14:35.630,750.001,750.001,1,1,-0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00005
07/21/2023 10:15:05.631,780.002,780.002,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:15:35.631,810.002,810.002,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:16:05.631,840.002,840.002,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:16:35.632,870.003,870.003,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005
07/21/2023 10:17:05.629,900.000,900.000,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:17:35.630,930.001,930.000,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:18:05.631,960.002,960.001,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:18:35.630,990.001,990.000,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:19:05.630,1020.001,1020.000,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:19:35.630,1050.001,1050.001,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:20:05.631,1080.002,1080.002,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:20:35.631,1110.002,1110.002,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:21:05.630,1140.001,1140.000,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:21:35.630,1170.001,1170.001,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:22:05.631,1200.002,1200.001,1,1,-0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:22:35.630,1230.001,1230.000,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:23:05.630,1260.001,1260.000,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:23:35.630,1290.000,1290.000,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:24:05.630,1320.001,1320.001,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:24:35.631,1350.002,1350.002,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:25:05.631,1380.002,1380.002,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:25:35.630,1410.001,1410.001,1,1,-0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00004
07/21/2023 10:26:05.630,1440.000,1440.000,1,1,-0.00059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:26:35.631,1470.002,1470.001,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:27:05.630,1500.001,1500.001,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:27:35.630,1530.001,1530.001,1,1,-0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:28:05.630,1560.001,1560.000,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:28:35.630,1590.001,1590.001,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:29:05.631,1620.002,1620.001,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:29:35.630,1650.001,1650.000,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:30:05.631,1680.002,1680.002,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:30:35.629,1710.000,1710.000,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:31:05.630,1740.001,1740.001,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:31:35.629,1770.000,1770.000,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:32:05.629,1800.000,1800.000,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:32:35.631,1830.002,1830.002,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:33:05.630,1860.001,1860.001,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:33:35.630,1890.001,1890.000,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:34:05.629,1920.000,1920.000,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:34:35.632,1950.003,1950.002,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:35:05.632,1980.003,1980.002,1,1,-0.00056,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:35:35.631,2010.002,2010.002,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:36:05.630,2040.000,2040.000,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:36:35.630,2070.001,2070.000,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:37:05.630,2100.001,2100.001,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:37:35.632,2130.003,2130.002,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:38:05.630,2160.001,2160.001,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00005
07/21/2023 10:38:35.629,2190.000,2190.000,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:39:05.630,2220.000,2220.000,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:39:35.630,2250.001,2250.001,1,1,-0.00053,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:40:05.631,2280.002,2280.002,1,1,-0.00059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:40:35.631,2310.002,2310.001,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:41:05.630,2340.000,2340.000,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:41:35.632,2370.003,2370.002,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005
07/21/2023 10:42:05.630,2400.001,2400.000,1,1,-0.00055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:42:35.629,2430.000,2430.000,1,1,-0.00054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:43:05.630,2460.001,2460.000,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:43:35.630,2490.001,2490.000,1,1,-0.00055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:44:05.631,2520.002,2520.002,1,1,-0.00055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:44:35.630,2550.001,2550.001,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:45:05.631,2580.002,2580.002,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:45:35.629,2610.000,2610.000,1,1,-0.00059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:46:05.630,2640.001,2640.001,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:46:35.631,2670.002,2670.002,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:47:05.631,2700.002,2700.002,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:47:35.631,2730.002,2730.002,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:48:05.631,2760.002,2760.002,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:48:35.629,2790.000,2790.000,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00005
07/21/2023 10:49:05.631,2820.002,2820.002,1,1,-0.00058,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00004
07/21/2023 10:49:35.630,2850.000,2850.000,1,1,-0.00054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:50:05.630,2880.001,2880.001,1,1,-0.00057,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
