Date_Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Voltage (V),Current (A),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),Internal Resistance (Ohm),dV/dt (V/s)
07/21/2023 10:02:08.918,30.001,30.000,1,1,-0.00106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:02:38.918,60.001,60.000,1,1,-0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:03:08.920,90.002,90.002,1,1,-0.00092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:03:38.920,120.002,120.002,1,1,-0.00088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:04:08.918,150.001,150.000,1,1,-0.00086,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005
07/21/2023 10:04:38.918,180.001,180.000,1,1,-0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:05:08.920,210.002,210.002,1,1,-0.00080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:05:38.919,240.001,240.001,1,1,-0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:06:08.918,270.001,270.000,1,1,-0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:06:38.920,300.002,300.002,1,1,-0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:07:08.919,330.002,330.001,1,1,-0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:07:38.918,360.001,360.000,1,1,-0.00076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:08:08.920,390.002,390.002,1,1,-0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:08:38.918,420.001,420.000,1,1,-0.00072,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:09:08.918,450.001,450.000,1,1,-0.00074,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:09:38.919,480.001,480.001,1,1,-0.00068,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:10:08.920,510.002,510.002,1,1,-0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:10:38.918,540.001,540.000,1,1,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:11:08.918,570.001,570.000,1,1,-0.00071,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:11:38.920,600.002,600.002,1,1,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:12:08.920,630.002,630.002,1,1,-0.00068,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:12:38.918,660.001,660.000,1,1,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:13:08.919,690.001,690.001,1,1,-0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:13:38.919,720.001,720.001,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005
07/21/2023 10:14:08.920,750.002,750.002,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:14:38.919,780.002,780.001,1,1,-0.00069,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00006
07/21/2023 10:15:08.919,810.002,810.001,1,1,-0.00068,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:15:38.919,840.001,840.001,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:16:08.918,870.001,870.000,1,1,-0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:16:38.919,900.001,900.001,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:17:08.918,930.000,930.000,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:17:38.919,960.001,960.001,1,1,-0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:18:08.920,990.002,990.002,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00001
07/21/2023 10:18:38.920,1020.002,1020.002,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:19:08.919,1050.001,1050.001,1,1,-0.00066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:19:38.918,1080.001,1080.000,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:20:08.919,1110.001,1110.001,1,1,-0.00065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00004
07/21/2023 10:20:38.919,1140.001,1140.001,1,1,-0.00059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003
07/21/2023 10:21:08.918,1170.000,1170.000,1,1,-0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00006
07/21/2023 10:21:38.918,1200.001,1200.000,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001
07/21/2023 10:22:08.919,1230.002,1230.001,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004
07/21/2023 10:22:38.918,1260.000,1260.000,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00002
07/21/2023 10:23:08.919,1290.001,1290.001,1,1,-0.00064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
07/21/2023 10:23:38.920,1320.002,1320.002,1,1,-0.00061,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00003
07/21/2023 10:24:08.920,1350.002,1350.002,1,1,-0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002
07/21/2023 10:24:38.920,1380.002,1380.002,1,1,-0.00062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00006
