Cell Code,T_C,T_K,Conductivity,Filename,1000/T
GE01,60,333.15,9.718173228980811e-05,BL-LL-GE01_60C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.0016509079994
GE01,60,333.15,2.6898325807854234e-08,BL-LL-GE01_60C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.0016509079994
GE01,40,313.15,9.718173228980811e-05,BL-LL-GE01_40C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.193357815743254
GE01,40,313.15,1.969153589461558e-08,BL-LL-GE01_40C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.193357815743254
GE01,20,293.15,9.276438082208953e-05,BL-LL-GE01_20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.4112229234180456
GE01,20,293.15,1.514755653958095e-08,BL-LL-GE01_20C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.4112229234180456
GE01,10,283.15,9.718173228980811e-05,BL-LL-GE01_10C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.531696980399082
GE01,10,283.15,1.2785203523993218e-08,BL-LL-GE01_10C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.531696980399082
GE01,0,273.15,9.718173228980811e-05,BL-LL-GE01_0C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.660992128866923
GE01,0,273.15,1.2369891107222667e-08,BL-LL-GE01_0C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.660992128866923
GE01,-10,263.15,9.718173228980811e-05,BL-LL-GE01_-10C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.800114003420103
GE01,-10,263.15,1.0475408648954485e-08,BL-LL-GE01_-10C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.800114003420103
GE01,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GE01_-20C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.950227138060439
GE01,-20,253.14999999999998,9.421583334690356e-09,BL-LL-GE01_-20C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.950227138060439
GE01,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GE01_-40C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,4.2890842805061125
GE01,-40,233.14999999999998,4.6342235912579645e-09,BL-LL-GE01_-40C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,4.2890842805061125
GE01,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GE01_-60C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,4.691531785127845
GE01,-60,213.14999999999998,3.00716882584997e-10,BL-LL-GE01_-60C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,4.691531785127845
GE02,60,333.15,9.718173228980811e-05,BL-LL-GE02_60C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.0016509079994
GE02,60,333.15,3.3399259463603353e-08,BL-LL-GE02_60C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.0016509079994
GE02,40,313.15,9.718173228980811e-05,BL-LL-GE02_40C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.193357815743254
GE02,40,313.15,2.2924000833949475e-08,BL-LL-GE02_40C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.193357815743254
GE02,20,293.15,9.276438082208953e-05,BL-LL-GE02_20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.4112229234180456
